name	eng	fra	ger	chs	pol	rus	spa
_LOC_ObjBomber_	Bombers	Bombardiers	Bomber	炸弹人	Bombowce	Бомбардировщики	Bombarderos
_LOC_Paradrop_	Paradrop zone	Zone Paras	Para-Abwurfzone  	伞降区	Strefa zrzutu spadochroniarzy	Зона высадки парашютистов	Zona de descenso Para
_LOC_Bridge	Bridge	Pont	Brücke	桥梁	Most	Мост	Puente
_LOC_FlagCapturedByUs_	Our team captured the flag.<br>Victory!	Notre équipe a capturé le drapeau<br>Victoire!	Unser Team hat die Flagge erobert.<br>Sieg!	我们的团队夺得了国旗。<br>胜利！<br>我们的团队夺得了国旗。	Nasza drużyna zdobyła flagę.<br>Zwycięstwo!	Наша команда захватила флаг.<br> Победа!	Nuestro equipo capturó la bandera.<br>¡Victoria!
_LOC_FlagCapturedByEnemy_	The enemy team captured the flag.<br>Defeat!	L'équipe ennemie a capturé le drapeau<br>Défaite!	Das gegnerische Team hat die Flagge erobert.<br>Niederlage!	敌队夺取了旗帜。<br>失败！	Drużyna przeciwnika zdobyła flagę.<br>Porażka!	Вражеская команда захватила флаг.<br> Поражение!	El equipo enemigo capturó la bandera.<br>¡Derrota!
_LOC_FlagWeEntered_	Our team entered the flag area	Notre équipe est entrée dans la zone du drapeau	Unser Team betritt den Flaggenbereich	我们的团队进入旗区	Nasza drużyna wkroczyła do strefy z flagą	Наша команда вошла в зону флага	Nuestro equipo entró en la zona de la bandera
_LOC_FlagEnnemyEntered_	The enemy team entered the flag area	L'équipe ennemie est entrée dans la zone du drapeau	Das gegnerische Team ist in den Flaggenbereich eingedrungen	敌队进入旗区	Drużyna przeciwnika wkroczyła do strefy z flagą	Вражеская команда вошла в зону флага	El equipo enemigo entró en la zona de la bandera
_LOC_FlagBlockedByUs_	We start capturing the flag	Nous commençons à capturer le drapeau	Wir beginnen mit der Eroberung der Flagge	我们开始夺取旗帜	Zaczynamy zdobywać flagę	Мы начинаем захват флага	Empezamos a capturar la bandera
_LOC_FlagBlockedByEnemy_	The enemy starts capturing the flag	L'équipe ennemie commence à capturer le drapeau	Der Feind beginnt, die Flagge zu erobern	敌人开始夺取旗帜	Wróg zaczyna zdobywać flagę	Противник начинает захватывать флаг	El enemigo empieza a capturar la bandera
_LOC_AAAA_	Flak	DCA	Flak	高射炮	Flak	Флак	antiaéreo
_LOC_SubOTrainAttacked_	Our train is under attack	Notre train est attaqué	Unser Zug wird angegriffen	我们的火车受到了攻击	Nasz pociąg jest atakowany.	Наш поезд атакован 	Nuestro tren está siendo atacado
_LOC_SubOAirfieldAttacked_	Our airfield is under attack	Notre aérodrome est attaqué	Unser Flugplatz wird angegriffen	我们的机场受到攻击	Nasze lotnisko jest atakowane.	Наш аэродром атакован	Atacan nuestro aeródromo
_LOC_SubOTrucksAttacked_	Our supply trucks are under attack	Nos camions de ravitaillement sont attaqués	Unsere Versorgungsfahrzeuge werden angegriffen	我们的补给车受到攻击	Nasze ciężarówki z zaopatrzeniem są atakowane.	Наши грузовики снабжения атакованы	Atacan nuestros camiones de suministros
_LOC_SubOFactoryAttacked_	Our factrory is under attack	Notre usine est attaquée	Unsere Fabrik wird angegriffen	我们的工厂受到攻击	Nasza fabryka jest atakowana.	Наша фабрика атакована	Nuestra fábrica está bajo ataque
_LOC_SubOShipsAttacked_	Our ships are under attack	Nos barges de ravitaillement sont attaquées	Unsere Schiffe werden angegriffen	我们的船只受到攻击	Nasze statki są atakowane.	Наши корабли атакованы	Atacan nuestros barcos
_LOC_SubOArtilleryAttacked_	Our artillery is under attack	Notre artillerie est attaquée	Unsere Artillerie wird angegriffen	我们的大炮受到攻击	Nasza artyleria jest atakowana	Наша артиллерия атакована	Atacan nuestra artillería
